ds,yhat,yhat_lower,yhat_upper,Type
2023-03-21,4761.706762856559,-745.2072758044864,9903.863685316988,Past
2023-03-22,4971.375361427762,-65.1585856552328,10095.768945954842,Past
2023-03-23,4574.588435730092,-380.465066119688,9932.667171950983,Past
2023-03-24,4808.53631563666,-152.5659451954266,10339.837269251224,Past
2023-03-25,4946.261710854671,-254.9782854732167,10397.87805361345,Past
2023-03-26,4406.715333998066,-955.7309777437495,9859.62357330583,Past
2023-03-27,5363.632914979737,226.87759482262496,10693.25579561291,Past
2023-03-28,5186.977236762261,-101.21002834060631,10640.846399261096,Past
2023-03-29,5398.4642583961695,333.474318065702,10481.919065490027,Past
2023-03-30,4989.243768601217,69.8550502541371,10192.667716737877,Past
2023-03-31,5197.170148105765,-7.240309361538275,10225.043688125535,Past
2023-04-01,5296.32846612857,511.1555825548581,10347.16916790817,Past
2023-04-02,4707.059962855807,-397.43649217295314,10137.299516951138,Past
2023-04-03,5604.799612983386,103.7855602158893,10409.564516500235,Past
2023-04-04,5361.470456636654,-255.33603135899523,10653.846019414383,Past
2023-04-05,5500.955053343803,-166.78751271692434,11082.158829185875,Past
2023-04-06,5016.7159596092115,-904.3310195464886,10514.392268159332,Past
2023-04-07,5149.002425655239,-327.93151321962375,10633.931164115456,Past
2023-04-08,5174.310252060315,141.9059985292289,10500.708646898176,Past
2023-04-09,4515.340632127136,-1043.919644493935,9624.074062029324,Past
2023-04-10,5349.772459136584,216.96176158945815,10685.778291509321,Past
2023-04-11,5051.594531658138,-421.49594670007207,10104.735355909932,Past
2023-04-12,5146.51967535602,-49.94616525258964,10080.14777735726,Past
2023-04-13,4629.554216272862,-338.45032883566637,9831.82799673157,Past
2023-04-14,4742.161366280094,-823.9190700947504,10126.633782052038,Past
2023-04-15,4761.686621060663,-486.63515470845624,9777.132439768944,Past
2023-04-16,4111.291919444335,-1024.2748755578818,9385.62565179196,Past
2023-04-17,4968.713705543902,-13.412168664938314,10522.30179624227,Past
2023-04-18,4707.591710668446,-615.378062434275,9703.810635894233,Past
2023-04-19,4852.890568885467,-352.9060462582253,10183.585370517198,Past
2023-04-20,4398.487506030758,-951.4373238588306,9718.101044198243,Past
2023-04-21,4584.364182474093,-945.615860816229,9731.931474832352,Past
2023-04-22,4686.070037575587,-598.7284640690347,10014.483397980797,Past
2023-04-23,4124.702880593977,-1074.8738979120674,9122.891608899203,Past
2023-04-24,5075.720640697668,-271.0751713796135,10150.76157663451,Past
2023-04-25,4910.329672679512,-183.70834219434994,9985.375481125764,Past
2023-04-26,5150.97015835704,-14.935839250173665,10475.817002340764,Past
2023-04-27,4788.970157952655,-368.39841150404084,9972.40251865128,Past
2023-04-28,5061.804639884295,11.54669095856932,10270.978708429406,Past
2023-04-29,5242.625065020704,-215.55085695115923,10302.943975611259,Past
2023-04-30,4750.30352557335,-183.92807021227577,9873.832260012781,Past
2023-05-01,5758.303679969662,-26.66827188852037,10718.217465148282,Past
2023-05-02,5636.122326624602,248.57692759327344,11027.215797058137,Past
2023-05-03,5904.820761240661,342.9074417731467,10873.792333109355,Past
2023-05-04,5554.7162714900305,328.86836291710824,10647.72349359208,Past
2023-05-05,5822.669123263551,622.7750081836414,11213.933787485686,Past
2023-05-06,5981.629891520118,923.978381041577,11538.282479761769,Past
2023-05-07,5450.690682395226,462.0955354844151,10723.962132454639,Past
2023-05-08,6403.9523152327965,1450.7573541732,11467.485928418406,Past
2023-05-09,6211.951418861943,1104.7883713297924,10922.665847490503,Past
2023-05-10,6397.166978570236,924.7536745287362,11748.308558781004,Past
2023-05-11,5951.677348285292,595.7484572171484,10895.89948528944,Past
2023-05-12,6114.403993126804,835.0263857937495,11497.69467418403,Past
2023-05-13,6160.607952528948,900.3780802473534,11346.279473035354,Past
2023-05-14,5511.883900077004,403.37301575917616,10563.762968250834,Past
2023-05-15,6344.965359699102,1335.365128395281,11438.411606227255,Past
2023-05-16,6033.086640036233,596.7852203720493,11124.025860511372,Past
2023-05-17,6101.422707561361,694.2201519936465,11389.806303209374,Past
2023-05-18,5544.679728347632,328.30242495441513,10704.229117965222,Past
2023-05-19,5604.274245059244,591.6157039473206,10971.067635719395,Past
2023-05-20,5557.768621680965,93.36470582850981,10633.77394473086,Past
2023-05-21,4828.8091754643265,-830.74170659385,10105.206085049658,Past
2023-05-22,5595.881955312565,45.72161942218621,11157.475289630906,Past
2023-05-23,5233.632953684989,-17.97744226933333,10322.092538368539,Past
2023-05-24,5268.274989679225,11.089871899571252,11043.038916734862,Past
2023-05-25,4695.154777928431,-741.2140433921807,9947.550091272848,Past
2023-05-26,4755.918683517423,-588.8699205663722,9943.113489329655,Past
2023-05-27,4727.945065819752,-480.9018997176336,10014.586659899518,Past
2023-05-28,4034.289633065337,-1341.741996752658,9165.364634737716,Past
2023-05-29,4852.458503322277,-429.6016614635142,10308.241437848788,Past
2023-05-30,4555.75523862154,-785.4632988987788,9719.966655020049,Past
2023-05-31,4668.7233288224,-635.8970565518093,9698.592934811959,Past
2023-06-01,4184.756659960552,-1674.3899027283053,9142.932357817517,Past
2023-06-02,4343.315296362547,-918.551057326425,9610.734572235846,Past
2023-06-03,4419.413149795551,-996.999397621457,9763.389839760648,Past
2023-06-04,3833.6225049954915,-1354.345064762135,9049.555999825676,Past
2023-06-05,4760.908564708896,-548.725435776242,9973.489229490451,Past
2023-06-06,4572.03869798792,-662.146069769237,10325.494918557635,Past
2023-06-07,4789.086295463762,-634.6415956923206,9903.41503466342,Past
